date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2021-02-26,0.0001261551329985,0.00017145529566274628,0.00011401263350419373,0.0002967200803789,0.00012933764792473943,0.0001444233749031339
2021-03-01,0.0001242667678858,0.00010758328773237032,9.650799331385421e-05,0.0001261551329985,9.041182431460246e-05,0.00010100493137783844
2021-03-02,3.417287412800983e-05,0.00011721156223088527,0.00010102012069991315,0.0001242667678858,9.754325725191073e-05,0.00010870845280864727
2021-03-03,7.538146778252764e-05,0.00015238946270864352,9.166402027201506e-05,3.417287412800983e-05,0.00010645933388412366,7.015995231693754e-05
2021-03-04,0.000364876403552,0.0001806653409682817,9.693182700512479e-05,7.538146778252764e-05,0.00012205560735170789,8.597284101169359e-05
2021-03-05,0.0003705507148527,0.00012460946994472007,0.00010240533322086875,0.000364876403552,0.00010166634432399678,0.00011285924754427181
2021-03-08,9.295977836931612e-05,0.0001358345820646761,9.940817464746703e-05,0.0003705507148527,0.0001045875571127157,0.00011755250726562066
2021-03-09,6.443329186093563e-05,0.00011648556680977726,8.661747805746155e-05,9.295977836931612e-05,8.785514827645306e-05,9.996105586686371e-05
2021-03-10,2.3690493950355433e-05,9.788868470087084e-05,8.10056618326263e-05,6.443329186093563e-05,7.617178191285646e-05,8.692332952591892e-05
2021-03-11,4.653619041089309e-05,8.998069706585667e-05,7.095054644115355e-05,2.3690493950355433e-05,6.615887810746077e-05,4.2033359549549424e-05
2021-03-12,2.0709124947641532e-05,7.577023201078519e-05,6.611058565948235e-05,4.653619041089309e-05,5.691411761843717e-05,3.519315666305098e-05
2021-03-15,5.0151698569103186e-05,6.842880282256357e-05,5.865449740334819e-05,2.0709124947641532e-05,4.8862060828460644e-05,3.367839714801943e-05
2021-03-16,1.745670779085858e-05,6.58110021531429e-05,5.466657735427957e-05,5.0151698569103186e-05,4.5137036044148215e-05,3.380260903781696e-05
2021-03-17,5.3285818917612015e-05,5.982345582872397e-05,5.04267608722957e-05,1.745670779085858e-05,3.9793082594395695e-05,3.1768037010214505e-05
